label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,ManualExamination,final_loc
LpCWr7,Unknown,-34.34806728,-36.81480324,15.74079132,-36.96368714,-50.24590286,20.21930387,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,WM
LpCWr8,A39rv_L,-39.54689848,-37.61416185,15.34102172,-42.81131609,-51.07875084,19.99124968,Gray,Left STG superior temporal gyrus,Unknown,L Middle Temporal Gyrus,L IPL,Left supramarginal gyrus 5 E,,Left supramarginal gyrus 5 E
LpCWr9,A39rv_L,-44.34581959,-38.41352046,15.34102172,-48.1952109,-51.75109544,20.22244688,Gray,Left STG superior temporal gyrus,Area PGa (IPL),L Middle Temporal Gyrus,L IPL,Left superior temporal gyrus G,,Left superior temporal gyrus G
LplsP1,G_L,-33.14833701,-14.43276227,10.14401686,-34.4305694,-25.87342278,11.56038977,Gray,Left TTG transverse temporal gyrus,Area Ig1,L Heschls Gyrus,L INS,Left superior temporal gyrus E,,Left superior temporal gyrus E
LplsP10,Unknown,-57.94276273,-30.41993439,40.12673718,-62.71203979,-37.01436778,47.27922219,Gray,Left SMG supramarginal gyrus,Unknown,Unknown,Unknown,Left supramarginal gyrus 1 B,OOB,OOB
LplsP2,TE10/TE12_L,-35.94770765,-16.03147948,13.7419433,-37.46100269,-27.00194219,15.92642754,Gray,Left TTG transverse temporal gyrus,Area OP2 [PIVC],L Rolandic Operculum,L STG,Left superior temporal gyrus E,,Left superior temporal gyrus E
LplsP3,A40rv_L,-38.7470783,-18.02987599,17.73963934,-40.52307734,-28.4078342,20.81466949,White,Left PO parietal operculum,Area OP1 [SII],L Rolandic Operculum,L IPL,Left supramarginal gyrus 1 E,WM,WM
LplsP4,Unknown,-41.94635904,-19.62859321,21.33756578,-44.0054737,-29.22712138,25.21007841,White,Left Cerebral White Matter,Unknown,L SupraMarginal Gyrus,Unknown,Unknown,WM,WM
LplsP5,Unknown,-44.74572968,-21.62698972,24.93549222,-47.09195232,-30.49679533,29.5796292,White,Left Cerebral White Matter,Unknown,L SupraMarginal Gyrus,Unknown,Left supramarginal gyrus 1 D,WM,WM
LplsP6,A40rd_L,-47.94501042,-23.62538624,28.53341866,-50.68242277,-31.79716349,33.88805711,White,Left Cerebral White Matter,Area PFt (IPL),L SupraMarginal Gyrus,L IPL,Unknown,WM,WM
LplsP7,A40rd_L,-51.14429116,-25.22410345,31.73157549,-54.34047136,-32.93642614,37.47970687,White,Left SMG supramarginal gyrus,Area PFt (IPL),L Inferior Parietal Lobule,L IPL,Left supramarginal gyrus 1 C,WM,WM
LplsP8,A40rd_L,-53.54375172,-26.82282066,34.52996272,-57.19678222,-34.17094037,40.68817637,White,Left SMG supramarginal gyrus,Area PFt (IPL),L Inferior Parietal Lobule,L IPL,Left supramarginal gyrus 1 C,WM,WM
LplsP9,A40rd_L,-56.74303246,-28.02185857,38.12788916,-61.0976071,-34.74975646,44.75556946,Gray,Left SMG supramarginal gyrus,Area PF (IPL),L Inferior Parietal Lobule,L IPL,Left supramarginal gyrus 1 B,,Left supramarginal gyrus 1 B
LTPlT1,A38m_L,-21.95085442,23.93645084,-29.03340435,-23.39457224,8.922255192,-39.7088342,Gray,Left TMP temporal pole,Unknown,L Medial Temporal Pole,L STG,Left superior middle temporal pole A,WM,WM
LTPlT2,A38m_L,-26.74977553,23.93645084,-28.23386514,-28.59897128,9.192883268,-38.6710682,Gray,Left TMP temporal pole,Unknown,L Medial Temporal Pole,L STG,Left superior middle temporal pole B,,Left superior middle temporal pole B
LTPlT3,A38m_L,-31.54869664,23.53677154,-27.03455633,-33.77584592,9.147856229,-37.14730534,Gray,Left TMP temporal pole,Unknown,L Inferior Temporal Gyrus,L STG,Left superior middle temporal pole B,,Left superior middle temporal pole B
LTPlT4,A21r_L,-36.34761775,23.53677154,-25.83524752,-38.96674375,9.549138329,-35.66643158,White,Left TMP temporal pole,Unknown,L Inferior Temporal Gyrus,L MTG,Left superior middle temporal pole D,WM,WM
LTPlT5,A21r_L,-41.14653885,23.13709223,-25.03570831,-44.11936286,9.465390796,-34.53363476,Gray,Left TMP temporal pole,Unknown,L Inferior Temporal Gyrus,L MTG,Left superior middle temporal pole D,Left inferior middle temporal pole C,Left inferior middle temporal pole C
LTPlT6,A21r_L,-46.34537005,22.73741293,-23.8363995,-49.68588244,9.485142383,-32.88489758,Gray,Left TMP temporal pole,Unknown,L Medial Temporal Pole,L MTG,Left superior middle temporal pole D,,Left superior middle temporal pole D
LTPlT7,A21r_L,-50.74438107,22.73741293,-22.63709068,-54.34917946,9.95284678,-31.34110516,Gray,Left TMP temporal pole,Unknown,L Medial Temporal Pole,L MTG,Left superior middle temporal pole D,,Left superior middle temporal pole D
LTPlT8,Unknown,-56.74303246,22.73741293,-21.43778187,-60.76014357,10.56241896,-29.78573608,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
