label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,Manual Examination,Notes
RmOlF3,A11l_R,18.1633352,38.33791113,-10.600003,20.53485925,29.85267843,-20.2254101,Gray,Right MOrG medial orbital gyrus,Area Fo3,R Superior Orbital Gyrus,R OrG,Right frontal orbital 4 C,,
RmOlF4,A11l_R,22.55447054,39.53597057,-7.400003195,25.07042141,31.15199038,-16.16077076,Gray,Right POrG posterior orbital gyrus,Area Fo3,R IFG (p Orbitalis),R OrG,Right frontal orbital 4 D,,
RmOlF5,A11l_R,27.3448,40.33467686,-4.200003386,30.1978699,31.91094196,-12.10293442,Gray,Right POrG posterior orbital gyrus,Area Fo3,R IFG (p Orbitalis),R OrG,Right frontal orbital 4 D,,
RmOlF6,A12/47o_R,31.73593533,41.5327363,-1.000003576,34.95385441,32.97920682,-7.992379357,White,Right Cerebral White Matter,Unknown,R IFG (p Orbitalis),R OrG,Right frontal orbital 4 D,WM,
RmOlF7,A44op_R,36.12707067,42.73079574,1.399996281,39.70196383,34.1586816,-4.989587336,Gray,Right Cerebral White Matter,Unknown,R IFG (p Orbitalis),R IFG,Right frontal orbital 4 D,,
RmOlF8,A45r_R,40.91740012,43.92885518,4.199996114,44.78880128,35.49543456,-1.634267423,White,Right Cerebral White Matter,Unknown,R IFG (p Triangularis),R IFG,Unknown,WM,
RmOlF9,A45r_R,45.30853546,44.72756147,7.399995923,49.35181357,36.50006449,2.290382606,Gray,Right TrIFG triangular part of the inferior frontal gyrus,Unknown,R IFG (p Triangularis),R IFG,Right anterior pars triangularis A,,
RmTpT1,rLinG_R,13.77219987,-35.14306784,-0.6000036,16.8573095,-51.02608879,-4.551147487,Gray,Right LiG lingual gyrus,Area hOc2 [V2],R Lingual Gyrus,R MVOcC,Right parahippocampal gyrus G,,
RmTpT10,Unknown,58.48194146,-39.53595245,-2.200003505,68.66470695,-55.57926796,-4.634164714,Unknown,Unknown,Unknown,R Middle Temporal Gyrus,Unknown,Right inferior middle temporal gyrus F,OOB,
RmTpT2,rLinG_R,18.96172345,-35.94177413,-0.6000036,22.66144897,-51.98525879,-4.517468512,White,Right LiG lingual gyrus,Area hOc1 [V1],R Lingual Gyrus,R MVOcC,Right parahippocampal gyrus G,WM,
RmTpT3,rLinG_R,23.7520529,-36.34112728,-1.000003576,28.01490532,-52.32403409,-4.755658023,Gray,Right LiG lingual gyrus,Unknown,R Lingual Gyrus,R MVOcC,Right parahippocampal gyrus G,,
RmTpT4,A37mv_R,28.54238236,-36.74048042,-1.000003576,33.40240261,-52.73928485,-4.57092851,Gray,Right Cerebral White Matter,Area  FG3,R Fusiform Gyrus,R FuG,Right parahippocampal gyrus G,,
RmTpT5,Unknown,33.73190594,-37.53918672,-1.400003552,39.49592839,-53.64617564,-4.716172119,White,Right Cerebral White Matter,Unknown,R Inferior Temporal Gyrus,Unknown,Unknown,WM,
RmTpT6,A37vl_R,38.52223539,-37.93853986,-1.800003529,45.20151535,-54.15844093,-4.951413935,White,Right Cerebral White Matter,Unknown,R Inferior Temporal Gyrus,R ITG,Right basal inferior temporal gyrus E,WM,
RmTpT7,A37vl_R,43.71175897,-38.73724616,-1.800003529,51.36363132,-55.02900862,-4.757329568,Gray,Right Cerebral White Matter,Unknown,R Inferior Temporal Gyrus,R ITG,Unknown,Right inferior middle temporal gyrus F,
RmTpT8,A37vl_R,48.50208843,-39.1365993,-2.200003505,57.00375229,-55.34328863,-4.9937309,Gray,Right MTG middle temporal gyrus,Unknown,R Inferior Temporal Gyrus,R ITG,Right inferior middle temporal gyrus F,WM,
RmTpT9,A37dl_R,53.29241788,-39.9353056,-2.600003481,62.61687581,-56.0941937,-5.25499847,Gray,Right MTG middle temporal gyrus,Unknown,R Inferior Temporal Gyrus,R MTG,Right inferior middle temporal gyrus F,,
uLmOlF,A13_L,-9.38105917,37.13985169,-12.20000291,-10.71947961,28.4245735,-22.68648912,Gray,Left GRe gyrus rectus,Area Fo2,L Superior Orbital Gyrus,L OrG,Left frontal orbital 4 B,,
uRmOlF,A11l_R,8.582676291,35.94179225,-17.00000262,10.03386461,26.96225022,-28.17697652,Gray,Right MOrG medial orbital gyrus,Area Fo2,Unknown,R OrG,Right frontal orbital 5 B,,
